id,year,origin,automatic-transmission,cylinders,displacement,drive,cityMPG,highwayMPG,class-size,guzzler,smog-score
19696,2004,2,1,6,2.8,4,20.6969,33.5505,0,0,1
19699,2004,2,1,4,1.9,1,24.1807,37.7741,0,0,1
19700,2004,2,1,5,2.4,1,24.3,38.6,0,0,5
19700,2004,2,1,5,2.4,1,24.3,38.6,0,0,6
19702,2004,2,1,5,2.5,4,22.3022,35.0035,0,0,5
19702,2004,2,1,5,2.5,4,22.3022,35.0035,0,0,6
19705,2004,2,1,5,2.4,1,24.3819,39.2349,0,0,5
19705,2004,2,1,5,2.4,1,24.3819,39.2349,0,0,6
19705,2004,2,1,5,2.4,1,24.3819,39.2349,0,0,9
19707,2004,2,1,5,2.5,1,24.0,38.4,0,0,5
19707,2004,2,1,5,2.5,1,24.0,38.4,0,0,6
19708,2004,2,0,5,2.5,4,19.9,32.1,0,0,1
19710,2004,3,1,6,3.5,1,20.1,30.5,2,0,1
19711,2004,3,0,6,3.2,1,22.6,38.5,2,0,5
19711,2004,3,0,6,3.2,1,22.6,38.5,2,0,6
19712,2004,3,1,6,3.2,1,22.6,36.5,2,0,5
19712,2004,3,1,6,3.2,1,22.6,36.5,2,0,6
19714,2004,2,0,6,2.7,4,20.0,32.5,2,0,1
19716,2004,2,1,6,3.0,4,20.3534,32.5077,2,0,1
19716,2004,2,1,6,3.0,4,20.3534,32.5077,2,0,2
19721,2004,2,0,6,3.0,2,22.15,37.934,2,0,5
19721,2004,2,0,6,3.0,2,22.15,37.934,2,0,6
19724,2004,2,0,8,4.4,2,18.4,32.4,2,0,1
19725,2004,2,1,8,4.4,2,20.1374,33.7,2,0,1
19726,2004,2,1,8,4.4,2,18.1978,31.2077,2,0,1
19727,2004,1,1,6,3.1,1,22.4,38.2,2,0,1
19728,2004,1,1,6,3.8,1,22.2,38.9,2,0,1
19728,2004,1,1,6,3.8,1,22.2,38.9,2,0,5
19732,2004,1,1,6,3.6,2,19.513,35.2989,2,0,1
19732,2004,1,1,6,3.6,2,19.513,35.2989,2,0,5
19734,2004,1,1,8,4.6,1,19.6,33.9,2,0,2
19735,2004,1,1,8,4.6,1,19.6,33.9,2,0,2
19737,2004,1,1,4,2.2,1,26.6,43.5,2,0,1
19738,2004,1,1,4,2.2,1,27.0,43.7,2,0,2
19739,2004,1,1,6,3.5,1,25.2,40.9,2,0,2
19740,2004,1,1,6,3.4,1,23.5,40.8,2,0,1
19740,2004,1,1,6,3.4,1,23.5,40.8,2,0,5
19741,2004,1,1,6,3.8,1,22.2,38.9,2,0,1
19741,2004,1,1,6,3.8,1,22.2,38.9,2,0,2
19741,2004,1,1,6,3.8,1,22.2,38.9,2,0,5
19742,2004,1,1,6,3.8,1,20.4725,35.7807,2,0,1
19742,2004,1,1,6,3.8,1,20.4725,35.7807,2,0,2
19742,2004,1,1,6,3.8,1,20.4725,35.7807,2,0,5
19743,2004,1,1,4,2.4,1,24.6,37.9,2,0,1
19743,2004,1,1,4,2.4,1,24.6,37.9,2,0,2
19745,2004,1,1,4,2.4,1,24.6,37.9,2,0,1
19745,2004,1,1,4,2.4,1,24.6,37.9,2,0,2
19747,2004,3,1,4,2.4,1,26.5646,43.1985,2,0,1
19747,2004,3,1,4,2.4,1,26.5646,43.1985,2,0,2
19747,2004,3,1,4,2.4,1,26.5646,43.1985,2,0,5
19747,2004,3,1,4,2.4,1,26.5646,43.1985,2,0,9
19748,2004,3,0,4,2.4,1,28.6566,42.9768,2,0,2
19748,2004,3,0,4,2.4,1,28.6566,42.9768,2,0,5
19749,2004,3,1,6,3.0,1,23.1347,37.9075,2,0,1
19749,2004,3,1,6,3.0,1,23.1347,37.9075,2,0,5
19749,2004,3,1,6,3.0,1,23.1347,37.9075,2,0,6
