logPowerJan11,logPowerFeb11,logPowerMar11,logPowerApr11,logPowerMay11,logPowerJun11,logPowerJul11,logPowerAug11,logPowerSep11,logPowerOct11,logPowerNov11,logPowerDec11,TempJan11,TempFeb11,TempMar11,TempApr11,TempMay11,TempJun11,TempJul11,TempAug11,TempSep11,TempOct11,TempNov11,TempDec11,Longitude,Latitude,logSqMeters,logAvgIncome,AvgYearBuilt,ResidentialCustomers,CommercialCustomers,PercentMXR,PercentMFR,PercentCOM,PercentIND,PercentNA,PercentOTH,PercentSFR
2.5159,2.4698,2.5428,2.5051,2.5159,2.5065,2.7364,2.7709,2.7284,2.6803,2.6946,2.721,57.38,52.52,58.46,62.96,63.32,67.1,75.02,76.46,73.4,67.64,56.3,52.88,-118.4531,34.1818,5.4455,4.5599,1968,72,28,8,61,6,6,15,0,4
2.1038,1.9823,2.0934,2.017,2.1106,2.0294,2.5888,2.6365,2.5877,2.4997,2.5353,2.5647,57.38,52.52,58.46,62.96,63.32,67.1,75.02,76.46,73.4,67.64,56.3,52.88,-118.4553,34.1851,5.1303,4.5199,1958,90,10,9,80,1,0,5,0,4
1.5911,1.5185,1.5682,1.5441,1.5911,1.6128,2.7959,2.8645,2.8494,2.7024,2.6785,2.7243,58.46,51.08,57.38,60.62,60.98,64.94,72.5,74.66,72.86,67.64,54.68,53.06,-118.3007,34.2624,5.4255,4.8558,1951,97,3,17,0,5,0,5,0,74
2.0969,2.0828,2.1206,2.1038,2.1106,2.1206,3.0124,3.0441,3.0394,2.9571,2.9212,2.9566,58.46,51.08,57.38,60.62,60.98,64.94,72.5,74.66,72.86,67.64,54.68,53.06,-118.3419,34.2757,6.6151,4.9411,1962,96,3,6,0,0,0,2,1,91
2.7101,2.6212,2.716,2.6848,2.7292,2.7459,3.0896,3.1427,3.1116,3.0422,2.9978,3.0257,58.46,51.08,57.38,60.62,60.98,64.94,72.5,74.66,72.86,67.64,54.68,53.06,-118.3338,34.2711,6.4444,4.9821,1959,91,9,2,2,2,0,5,2,88
3.3709,3.3749,3.4389,3.3876,3.4148,3.4392,3.5155,3.5508,3.5347,3.5275,3.4757,3.4588,58.46,51.08,57.38,60.62,60.98,64.94,72.5,74.66,72.86,67.64,54.68,53.06,-118.4096,34.3056,6.4294,5.0426,1968,77,23,1,0,0,14,3,1,82
2.5717,2.5263,2.5478,2.5403,2.5539,2.601,2.9335,2.9474,2.9395,2.9133,2.8802,2.8882,50.18,44.42,50.36,53.6,56.12,63.5,73.76,78.26,75.92,67.1,51.44,48.02,-118.4287,34.3038,5.8593,4.7321,1968,90,11,2,9,8,0,2,1,79
2.6665,2.6031,2.6415,2.6138,2.6365,2.6375,2.6998,2.7259,2.6794,2.6599,2.6618,2.6928,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.1826,34.0832,5.528,4.7626,1985,90,10,23,35,4,0,9,1,28
2.5353,2.4728,2.5079,2.5051,2.5079,2.4609,2.5079,2.5855,2.5977,2.5132,2.4314,2.4757,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3352,33.9777,5.5911,4.7192,1950,54,38,0,0,0,0,0,0,0
2.4928,2.4362,2.4914,2.4843,2.4757,2.5428,2.8825,2.9128,2.8915,2.8609,2.8202,2.8331,58.46,51.08,57.38,60.62,60.98,64.94,72.5,74.66,72.86,67.64,54.68,53.06,-118.422,34.2971,5.4644,4.785,1950,89,12,14,27,10,2,6,2,39
1.9138,1.9868,2.0645,2.0453,2.0719,2.0792,2.6222,2.6335,2.616,2.6435,2.6314,2.6542,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.2485,33.7916,5.1513,4.6975,1947,90,11,50,16,3,0,13,0,18
2.8267,2.7738,2.8254,2.8102,2.8122,2.7973,3.0073,2.975,2.993,3.0175,3.0362,3.0508,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.3036,33.8033,5.8824,4.9856,1972,90,9,0,0,1,6,3,0,90
2.8182,2.7566,2.7796,2.73,2.7574,2.7566,2.8041,2.8451,2.7938,2.7612,2.7731,2.8136,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.2694,34.1022,5.5152,5.0693,1944,96,3,17,8,2,0,6,0,67
2.6522,2.567,2.6274,2.5682,2.6107,2.5694,2.567,2.567,2.5315,2.5302,2.5599,2.567,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.2979,34.0681,4.6776,4.6524,1968,91,8,0,86,5,0,5,0,5
3.3424,3.24,3.2819,3.2842,3.3038,3.3032,3.2641,3.2905,3.262,3.242,3.2022,3.2629,61.52,56.3,60.98,63.68,64.4,67.64,75.56,77.36,75.74,72.86,62.06,59.36,-118.3747,34.0783,5.6616,5.1979,1939,69,30,25,4,31,0,18,0,22
3.0141,2.9768,3.017,2.9917,3.0302,3.0322,2.9736,3.0065,2.985,2.959,2.9489,2.9713,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.2661,34.0986,5.8687,5.0367,1939,74,26,22,18,13,0,16,2,29
3.4723,3.4268,3.4622,3.4499,3.4761,3.4827,3.5,3.5126,3.4754,3.4673,3.476,3.4991,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.3279,34.0641,5.5883,5.519,1941,93,7,0,0,7,0,2,0,91
3.1647,3.1119,3.167,3.1529,3.1755,3.1661,3.1535,3.167,3.1978,3.2019,3.181,3.1909,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.2937,34.0775,5.0434,4.6347,1960,91,10,2,78,10,0,10,0,0
3.2801,3.2154,3.2629,3.2529,3.2725,3.2858,3.294,3.3054,3.2916,3.2641,3.2548,3.256,61.52,56.3,60.98,63.68,64.4,67.64,75.56,77.36,75.74,72.86,62.06,59.36,-118.3876,34.0961,5.928,5.5634,1957,96,4,8,3,0,0,2,0,87
2.7924,2.7679,2.7868,2.786,2.7789,2.7966,2.776,2.8041,2.8028,2.8209,2.7774,2.7959,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.288,34.0805,5.511,4.6612,1965,83,15,16,61,3,1,11,2,5
2.7789,2.7716,2.798,2.8228,2.7853,2.7875,2.9741,2.9836,2.9699,2.9987,2.9315,2.959,56.66,52.7,58.46,63.14,63.68,67.1,74.48,76.1,73.4,67.82,57.74,53.24,-118.3772,34.1627,5.1306,4.6316,1969,93,7,3,58,6,0,2,2,30
2.2504,2.281,2.2504,2.3075,2.2672,2.3324,2.7723,2.7853,2.7701,2.7589,2.6884,2.721,56.66,52.7,58.46,63.14,63.68,67.1,74.48,76.1,73.4,67.82,57.74,53.24,-118.3756,34.1595,5.2161,4.7453,1969,88,10,3,68,3,0,4,1,21
